Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 	botname
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Arbitrarily0Bot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ArkyBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ArmadilloProcessBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Armanbot
1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	ArmbrustBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	ArshavaBot
1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	ArthurBot
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	ArticleAlertbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	ArticleGrinder
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ArticleListBot
0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	ArticlesForCreationBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AsenineBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AsgardBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AstRoBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AstaBOTh15
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AswnBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AudeBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AusTerrapinBotEdits
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Autobot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AutocracyBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Autotitlechange
1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	AvicBot
0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	AvicBot2
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AvocatoBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AwOcBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AzaBot
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	B-bot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	BAGBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	BD2412bot
