	Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 
limited	0.0025898639267617892	0.004071259745274292	0.0060352179116466955	0.0070176646996708905	0.004082307054767313	0.0	0.0030563563306789834	0.0	0.00884567536340011
link	0.0036774696104560113	0.0	0.0001873016000160126	0.0014946647704746176	0.010032066536190695	0.0011796611415680455	0.00835210054767655	0.0036348728751018347	0.004726629989945652
links	0.011125468889800592	0.0017494180246092432	0.005035689373283054	0.007099369249042117	0.014502083077496414	0.0005476949783401164	0.030241926164832077	0.002934424075576713	0.002055804167910103
list	0.0042675215122756965	0.0	0.0022804857556477385	0.0032162776850098796	0.005100080689861339	8.552867096110677e-05	0.0023104328312886554	9.207987286345001e-05	0.00395596449231997
lists	0.002164848973421688	0.011301039251801242	0.00935166804866495	0.0023180445352491393	0.00701172087592718	0.0008109945609945546	0.006119040109542581	0.0035953251546321312	0.014590856168791407
log	0.007217118144289647	0.0036470845162699253	0.002010999777418468	0.004713759148921965	0.007823113407882163	0.012329667106119904	0.003411073067624512	0.006966980879805011	0.008274555334546196
mainspace	0.0029178999400051374	0.013952296749950726	0.00482565792845796	0.0034414468606263	0.007843355054700086	0.02168937503009783	3.7664409492307214e-05	0.003131369451420092	0.0086796022050821
malfunctioning	0.0026845090931177833	0.003949559447524042	0.006499143226504178	0.005605804150727196	0.014533559365267453	0.0	0.0018488645967848338	0.016739043520832657	0.0017773835920177384
manual	0.004334029932652328	0.0	0.0042051033984188005	0.0011976716415464193	0.001862072613375457	0.0	0.0028211387423207287	0.010905209687625763	0.008208983864102293
mark	0.0019158731743759074	0.0030254145171586815	0.009858247039763119	0.003230556918098556	0.010832522731657059	0.006315321160441196	0.005423442630786662	0.006321182419987871	0.0036895022327565917
matching	0.0012384902920496753	0.0076993000226150314	0.004607392902496647	0.0003116481495058018	0.013692114545606121	0.0	0.0025574132318657745	0.008370980895866926	0.003364333227747862
mention	0.001926067564654916	0.015079136523274176	0.003941748445398327	0.007399698132897693	0.011566152933318113	0.025640005168381053	0.000991644664325679	0.004285115327422548	0.006994447261039373
messages	0.007035735532675244	0.007429817146416333	0.007746361374270779	0.005387359284191441	0.007958463073649271	2.710598751377159e-05	0.005137002812735152	1.6859695031343225e-05	0.049083928371471484
method	0.006913640674227084	0.0010662959372816643	0.004715226201759625	0.005009287071751618	0.005007656824863525	0.0	9.531279782006502e-05	0.00532077499104562	0.008097123240699052
missing	0.011518491373621192	0.0012073452862926546	0.00263446174819193	0.004930905341958533	0.0056457325262635	0.0083659198581677	0.0007234497848422797	0.0038305529443899656	0.00641587169874519
modify	0.0018518923550553425	0.0	0.003078212942967721	3.975883535686618e-05	0.0	0.0	0.0030599021600923744	0.0	0.0006000736676568856
moved	0.0021536006208909926	0.007001858630370665	0.006301615408241678	0.005218463736321209	0.005246635643544521	0.00022283783195784103	0.003857230347219491	0.0	0.013352048412893693
names	0.0009264815776162262	0.0037828450619148317	0.0022338206653147894	0.005692978290066446	0.00167701317593436	0.00791248130274149	0.0042780220327974326	0.0023742449727088056	0.006287475407388217
namespaces	0.005511435114717975	0.01029765039887979	0.004762254511215408	0.007423172586936906	0.0033752250242969706	0.0	0.014085975618579721	0.0059254085127553495	0.0001887638884977601
note	0.006238154877665636	0.007161234991423673	0.01719767156651387	0.006004500035436425	0.0022541393158368355	0.010998986735445849	0.01642171526721713	0.0050666368767657045	0.0011591797621453629
noticed	0.004547390238536344	0.011055075215522306	0.002407393583382178	0.006178886436125684	0.0018305262210295808	0.0	0.005034602815678403	0.0	0.0045844376593809025
notify	0.00786438601215597	0.0005948129908036088	0.0033261634606192537	0.005420894755626722	0.006478120404300398	0.007069511349802231	0.0002421711631982354	0.017942679060206135	0.025543917125630172
operated	0.005060993151256286	0.0	0.006802469064976663	0.005521416941434864	0.007051177448487753	0.0005273521307284309	0.003962973553241653	0.0009492513851535718	0.0019016557707430542
operator	0.004791943574102498	0.01485346686043933	0.0010224427138887204	0.0023984596758830313	0.003778954987692946	0.0005096071582853212	0.0023303638574111653	0.00794804334608394	0.003605686546932111
order	0.0019370995701241136	0.0	0.005744760323468525	0.0034448411622255218	0.008166486452352104	0.0	0.003651545611610741	0.0005881659130715445	0.004820359518530251
overview	0.003915764724960512	0.001094077568134172	0.0046687542524611655	0.007529967178476374	0.005748760716428952	0.0017782909880482186	0.0019285839368192472	0.004725795413528031	0.005157404243332957
padding	0.0038758266438172436	0.005207365517677842	6.080180608936834e-05	0.004056355804508708	0.0017048460494147118	1.6622600423121173e-05	0.0028542193708437982	2.0211870811192256e-05	2.052415781542103e-05
pagename	0.008894645981853879	0.013572192767746929	0.009217687415025376	0.013079690915292815	0.007416177057392935	0.0	0.005689022690674029	0.009706522441770568	0.007518460856423518
parameter	0.005478514574255538	0.007877252894859547	0.007916418269128292	0.0036132410747084023	0.003684182692229118	0.001277775244187236	0.002496895200041845	0.0013922104256207817	0.003426182533611362
placed	0.006278388975310865	0.0014821941804151863	0.008340732701066125	0.014079609090991008	0.008239352132294656	0.013163353357007745	0.007357847839714618	0.008067210161719912	0.00514307051461097
plan	0.004932455513557794	0.020208310791036358	0.0022556269632236056	0.0042218111847166714	0.006428922574426186	0.017807433257162903	0.0010105288387899849	0.01480706701770498	0.005314565530242055
png	0.005122189455738199	0.0	0.0016747510943125612	0.0046298341569856495	0.013367007811266101	0.011974225004697577	0.006453467961200767	0.015600429101173652	0.014281839824269274
post	0.010354035455704184	0.011690560184630987	0.00964874042902253	0.0034123544589228297	0.005758514655351546	0.0	0.004203566780599506	0.0004524820959135494	0.004562913402350891
preserved	0.004421118915400571	0.002060298228306	0.0006416498064231714	0.001313316055297473	0.00013344950054906048	0.0	0.00046815151085260315	0.0008698774924666113	0.009283675209575412
problems	0.0050913521744635	0.00811336032388664	0.0049785331595161506	0.008372637705152433	0.009122194493012723	0.007398056875188484	0.004328745187208919	0.009477638798798819	0.007771867157456561
process	0.008372229966784715	0.0	0.004413579944938394	0.004402775672914557	0.008405285111261058	0.0017053645799961568	0.013692082214135464	0.005442068047595323	0.0009633161268892099
programming	0.005348479167345123	0.0	0.002776070729782881	0.00038268302044604366	0.0032301545795306503	0.0	0.0015338560184215394	0.001770425265538548	0.0
proposed	0.004479907407080196	0.005424581692151387	0.0035092037834527066	0.006617212648037764	0.012049621300027376	0.00357501880727844	0.0028682489069916718	0.0	0.01363175661297881
provide	0.0028341386584744776	0.002002066161134163	0.003772655481837718	0.004678639630005992	0.003507355363209514	0.0005486661897278624	0.0035286276412336897	0.0018027813353622356	0.0
purpose	0.004057049973898151	0.0009257579422673791	0.009124071874590304	0.00441825674794954	0.0056448189139306024	0.011988304366687946	0.0030351502500323363	0.02000840007577779	0.008393262539256426
rate	0.010597528025196113	0.0033864146962354126	0.01695770057708708	0.0035189526547469764	0.011645530776724635	0.00011148872556874772	0.006460342891650405	0.008420696083329276	0.003893680884494783
recommended	0.0012354845711558481	0.01235248867248259	0.0013433841587995687	0.0036862047782030122	0.002588517933974913	0.0	0.0018426786798134067	0.0	0.010761573269916022
redirect	0.015552886690648188	0.0032175532972067177	0.0120294911024641	0.009987050567519506	0.02356590397272748	0.006556038408421267	0.005014137305593172	0.00885910661591699	0.007970629809604831
redirects	0.005410913096587945	0.0	0.0012991840113969594	0.004801430659569097	0.001718173345529628	0.00011824099944938917	0.004090657948628671	0.0010837042657713537	0.0009934632716384817
reduce	0.0034058766659283077	0.0	0.00566778725363828	0.003908523059705864	0.0006334051086012982	0.01804393980077144	0.00408943577949039	0.0	0.006441743097031688
reference	0.0061851708293768235	0.008537060741735386	0.002843775578165127	0.00448379220206236	0.009752550597097124	0.027603305785123978	0.0021056807351875644	0.0036344071720902657	0.001841367942032433
regex	0.0024656621521304545	0.014670456269079413	0.006504322144890681	0.0028682921159399626	0.0006603111406223844	0.010394603154262291	0.0010452783291966172	0.004392168322618352	0.010783149056730492
remove	0.012454859694249922	0.005408906882591094	0.004549541304389896	0.00867334367489083	0.002036376338746924	0.0	0.007537504341384176	0.0016804694253713612	0.005081381330598194
removes	0.004485253167147942	0.002704453441295547	0.008677222500374341	0.002055021377532734	0.012221879065264755	0.016150558106905674	0.0044313679276434615	0.003862900216259329	0.009143797366458713
replace	0.0028775451829217446	0.0	0.005050859775363289	0.0032133046444607514	0.0008647163232652563	0.01313543952993472	0.002843435526492902	0.003964054700068215	0.002089911892964972
replacing	0.004223215273476147	0.0	0.006720389019833082	0.0021566877867488254	0.005582783739980812	0.04637609371623239	0.003708707447697536	0.0	0.005491677472596358
report	0.00339859920392329	0.006827342598459079	0.00942456623968816	0.006130638077015197	0.004990993293027232	0.010257751481754264	0.008499558757221082	0.005440732364903258	0.007745305667246112
reports	0.013458926971294336	0.017731116216039768	0.00753764959271151	0.01092875164561389	0.008946291802243947	0.016268593003585106	0.010923109795782603	0.012230555344626593	0.01909372681732685
request	0.007888325329777667	0.007034161025623188	0.010314551638566611	0.0055214465863032535	0.010807896157137722	4.1473231851518345e-05	0.0050718904929485786	9.625158498118567e-06	0.004224714344559208
requested	0.00808648862328161	0.0015538671567739983	0.0037564941076386783	0.00239030473750121	0.006842908276459206	0.02021917263705348	0.007908187331557518	0.0014064367597020247	0.0023106120858639415
required	0.005834111472126297	0.010883765000775487	0.005326277231211555	0.005232999805638784	0.005201373464778591	0.0027782756112959524	0.004564717778599775	0.005279104150990732	0.0012342941611234292
rest	0.0033233124621974757	0.015377368070832667	0.007699136642725616	0.0018421267692383613	0.008242711579301058	0.0	0.0011674857416118928	0.019261504841473615	0.0076975711047679776
review	0.0030921784513889125	0.00011268556005398162	0.005233590419308467	0.002641681955028829	0.009287455681859527	0.0	0.0015711479207541346	0.0032893839591339514	0.0023006046844741405
reviewed	0.0005911139748312388	0.009794702675305075	0.00817206953573786	0.004611683773108548	0.009149425102761687	0.0	0.0037577292769789606	0.03473699859458635	0.012182664622501815
reviews	0.006293510832760281	0.007760463344377891	0.0036547699968811436	0.005400079410334715	0.00503897541985851	0.012282496603016725	0.00045750142953631214	0.00018133976053110804	0.0027761154332069955
right	0.009018612856279761	0.004842139175257731	0.006282663781159029	0.004720790575916978	0.0007175879305076111	0.010383528016591616	0.005523637452849546	0.01616467167852801	0.0023797839184002577
rm	0.007065087890089386	0.003889553401544443	0.0030410803951822327	0.015493993735625327	0.0007830582140661782	0.0017725626215286173	0.02574811123006825	0.0040801116865866426	0.0038529285406088986
run	0.0027914110115881997	0.00202834008097166	0.0020326041377242204	0.002374477473528788	0.004350840021873186	0.0007873591553505737	0.000246734818169954	0.0005167760793786129	0.001992450887378078
running	0.008879061814839943	0.004083716056092418	0.0063346938261973395	0.012457549493696754	0.007288303734317556	0.015624513497807408	0.006337188133464263	0.0042977769688838	0.0030616612654043303
sandbox	0.0036697678875178066	0.011770670097783601	0.005766314837774176	0.00998824745471557	0.011594384737165373	7.377287832698865e-06	0.005261055087281822	0.0	0.006563634754851054
search	0.005585416960717836	0.0008990630140328403	0.005617209307580042	0.012716142044831593	0.0033697564635343257	0.011380674307875335	0.002574453072676551	0.003641888076067197	0.00902911254540574
separate	0.003382948981849885	0.008230977945439259	0.003842203228035828	0.003502613805148956	0.001272074989246284	0.0024446227663014386	0.0009593625852903617	0.016148715126950798	0.007645041655660145
shutoff	0.006837647910714886	0.020699180908522234	0.009707700581029816	0.012387964798289179	0.007630247809410404	0.0004502088287797598	0.004133191531994991	0.012953630602324212	0.006590490059173627
skip	0.0012782216266883646	0.009880749157034022	0.004485079723391244	0.004231852847987451	0.005632729793391108	0.0	0.0014897617196995712	0.00020982817961937906	0.001311403487977765
sort	0.005041211801424526	0.0	0.0031819069659116974	0.0014287240698152262	0.009233515091241002	0.0	0.004341923888609929	0.0013195921098280064	0.009260857976593892
space	0.005363030586885238	0.0	0.0026969261296787756	0.024489667064461224	0.0056988336867910185	1.2503584769352175e-05	0.011232620576252352	0.004070741625090066	0.0019932664172449184
span	0.0010555502525675282	0.023555263342911043	0.0019218634676972973	0.0012350935559770067	0.0003886983490953925	0.0002526869199380338	0.0035358936574651388	0.006605218211930673	0.0027208698803248953
speedy	0.00569946609820849	0.011509293338240707	0.008118258737455007	0.00250076077340803	0.008523935191349629	0.008822843320884365	0.006062182897042187	0.012577211578952205	0.011902417720875129
standard	0.011090824961569143	0.004102970080803666	0.003684649332914426	0.005741623633199936	0.0	0.007873821284238889	0.003584430777927952	0.0024232898623049045	0.0013197407934250043
started	0.006717273333351979	0.012445091693544828	0.004492668607108117	0.011696282720471686	0.0021727772722515146	0.0	0.0012262122483291987	0.0	0.008158420865777692
stop	0.002580413587122435	0.0009014844804318487	0.009297236218954709	0.004488313017537796	0.005622632273462937	0.008341318138829063	0.0021094455713674422	0.004445665366100424	0.004444381358764145
suggest	0.008241971211024983	0.011701723746133614	0.0008583525590382501	0.007990008242885262	0.0005311960827782941	0.006318409611363716	0.005225449885770518	0.0004126369965810391	0.0022392306308402546
suggested	0.0056284548470593495	0.006456185567010307	0.002330527484746547	0.002861784156832069	0.007424366688778094	0.008059628125113447	0.0006817142732735349	0.006324372383623819	0.0008204331325159183
suggestion	0.006071160289375354	0.013179237229248141	0.005521298670144734	0.0014378205043390844	0.006078022840765735	0.0	0.0049027592940939745	0.0005410499150786042	0.006837513660037059
sup	0.005861649006320217	0.0039059251559251567	0.005998846322792241	0.006493724734853296	0.009287737555960228	0.01124579124579125	0.009061348132169593	0.020333665777556534	0.0
supervised	0.00045306273906183534	0.008815329032516417	0.00015437670744227315	0.0017740839509142459	0.0012602686560727917	0.0	0.002045025644525359	0.004878421785521935	0.0017398716964752866
svg	0.0016752768819636465	0.008591189013521818	0.0008298927216912617	0.0022984653923137097	0.005727067001140399	5.416227410332981e-06	0.0059891931102881825	3.5229295247332677e-06	0.0011209371084616097
tag	0.008896541342313498	0.0036095059442438834	0.03363392463334085	0.008632892339569695	0.01055039386840135	0.0	0.03571836506714625	0.008369606144588957	0.013931720198979702
tagged	0.0033347221886146626	0.018284912896719286	0.020159213687660816	0.008453687445222657	0.005242860771484901	0.0	0.0047028834201624185	0.009129249532756572	0.0
tagging	0.008191601154726984	0.009901996465430132	0.0289229055524513	0.007381118867222139	0.006439721095128191	0.002149797544159599	0.013385228668665882	0.004249020637292515	0.011867534247291155
tags	0.004359665205704788	0.0	0.005898123904554091	0.008621752414356507	0.006442191830028041	0.0021401064812683547	0.002450561017737245	0.0032695442928030857	0.005757144523023217
taking	0.003555001946993569	0.005975260629503754	0.003538614048956304	0.006363781135754014	0.005344630031810925	0.0010840408646947534	0.0012020019266466135	0.0056299934692735825	0.006470082155008473
target	0.0018194268700400622	0.02138762212745577	0.009422775359211714	0.005300151163028313	0.009465252652748054	0.0010872862830027881	0.005374693974861461	0.002503664712153517	0.003271607637058814
test	0.0037884812940340005	0.0003055374857700598	0.0051803406265003805	0.003136408875380258	0.003991902252402644	4.499326448134885e-05	0.0029659774706152944	0.0011823944424545828	0.0063535016652136265
testing	0.009812814333797817	0.010227170977322553	0.004130693160800673	0.0046077981080594995	0.005197122321108939	0.001942668820623093	0.015050894417152683	0.0	0.003990073803350848
toolserver	0.0056497597696426646	0.016979881511864473	0.00797181664222573	0.005049984183144422	0.0015929150974754677	4.247191796845672e-05	0.008188562333149099	0.0007294169032539875	0.0064944673425353806
top	0.003612883607297982	0.0	0.00030674138177280003	0.0008266848618241413	0.00028020180604644454	0.00071908400967065	0.0020487615225840456	0.0009933617070201888	0.0
unsupervised	0.006809507570331974	0.0024660784469396437	0.012761734516149004	0.0066657371412274374	0.010325994817840207	0.011133333333333422	0.005232166799522054	0.0017655539181136663	0.00904938426929228
update	0.008815195252099381	0.000963463225876335	0.00895763206681172	0.01387494738696958	0.0045270736716790435	0.0046476913345983506	0.010513237255447564	0.0037216882443278166	0.006461661542466459
updated	0.012448627868171403	0.0047357763141477015	0.013993178980166707	0.008482430971503599	0.002911113232743943	1.4462835944034685e-05	0.0036620590577344896	0.003784021242424557	0.0016966554371220497
updates	0.005538927003085081	0.009482292310976992	0.013729012356280438	0.018733258964089873	0.0011483241040719325	0.0	0.009872110830784962	0.0065914012942910214	0.003507569514197986
updating	0.006389747551054525	0.0	0.008118457544739083	0.025331644045976036	0.0034235909914391684	0.0020496516114051843	0.0035473159961683432	0.0028421789365374525	0.005086911522025451
